event_year,start,end,reference,dataset,mae_mm_per_day,n_days
2003,2003-10-14,2003-10-19,PRISM 4km,CONUS404,30.890026092529297,5
2003,2003-10-14,2003-10-19,PRISM 4km,Daymet-PC,30.22406578063965,6
2003,2003-10-14,2003-10-19,PRISM 4km,PNNL hist,18.01869010925293,6
2003,2003-10-14,2003-10-19,PRISM 4km,PRISM 800m,0.16299302875995636,6
2003,2003-10-14,2003-10-19,PRISM 4km,UCLA ERA5 d02,13.360893249511719,6
2006,2006-11-04,2006-11-07,PRISM 4km,CONUS404,61.488037109375,3
2006,2006-11-04,2006-11-07,PRISM 4km,Daymet-PC,34.539581298828125,4
2006,2006-11-04,2006-11-07,PRISM 4km,PNNL hist,31.5531063079834,4
2006,2006-11-04,2006-11-07,PRISM 4km,PRISM 800m,0.46337890625,4
2006,2006-11-04,2006-11-07,PRISM 4km,UCLA ERA5 d02,41.233917236328125,4
