event_year,start,end,region,reference,dataset,mae_mm_per_day,n_days
2003,2003-10-18,2003-10-24,Lower Skagit,PRISM 4km,CONUS404,18.32697105407715,7
2003,2003-10-18,2003-10-24,Lower Skagit,PRISM 4km,Daymet-PC,18.880373001098633,7
2003,2003-10-18,2003-10-24,Lower Skagit,PRISM 4km,ORNL,19.755739212036133,7
2003,2003-10-18,2003-10-24,Lower Skagit,PRISM 4km,PNNL hist,27.354412078857422,7
2003,2003-10-18,2003-10-24,Lower Skagit,PRISM 4km,UCLA ERA5 d02,18.155675888061523,7
2003,2003-10-18,2003-10-24,Lower Skagit,PRISM 4km,gridMET,30.89342283273672,7
2003,2003-10-18,2003-10-24,Sauk,PRISM 4km,CONUS404,31.97469139099121,7
2003,2003-10-18,2003-10-24,Sauk,PRISM 4km,Daymet-PC,39.200172424316406,7
2003,2003-10-18,2003-10-24,Sauk,PRISM 4km,ORNL,39.13418197631836,7
2003,2003-10-18,2003-10-24,Sauk,PRISM 4km,PNNL hist,36.541229248046875,7
2003,2003-10-18,2003-10-24,Sauk,PRISM 4km,UCLA ERA5 d02,33.69767761230469,7
2003,2003-10-18,2003-10-24,Sauk,PRISM 4km,gridMET,47.98129351069925,7
2003,2003-10-18,2003-10-24,Upper Skagit,PRISM 4km,CONUS404,24.96470832824707,7
2003,2003-10-18,2003-10-24,Upper Skagit,PRISM 4km,Daymet-PC,31.9121036529541,7
2003,2003-10-18,2003-10-24,Upper Skagit,PRISM 4km,ORNL,31.930248260498047,7
2003,2003-10-18,2003-10-24,Upper Skagit,PRISM 4km,PNNL hist,28.951213836669922,7
2003,2003-10-18,2003-10-24,Upper Skagit,PRISM 4km,UCLA ERA5 d02,24.184261322021484,7
2003,2003-10-18,2003-10-24,Upper Skagit,PRISM 4km,gridMET,35.36031083632489,7
2006,2006-11-04,2006-11-10,Lower Skagit,PRISM 4km,CONUS404,22.353607177734375,7
2006,2006-11-04,2006-11-10,Lower Skagit,PRISM 4km,Daymet-PC,19.34084129333496,7
2006,2006-11-04,2006-11-10,Lower Skagit,PRISM 4km,ORNL,18.967676162719727,7
2006,2006-11-04,2006-11-10,Lower Skagit,PRISM 4km,PNNL hist,21.77989387512207,7
2006,2006-11-04,2006-11-10,Lower Skagit,PRISM 4km,UCLA ERA5 d02,22.647216796875,7
2006,2006-11-04,2006-11-10,Lower Skagit,PRISM 4km,gridMET,25.62373036780915,7
2006,2006-11-04,2006-11-10,Sauk,PRISM 4km,CONUS404,47.8695068359375,7
2006,2006-11-04,2006-11-10,Sauk,PRISM 4km,Daymet-PC,35.38081359863281,7
2006,2006-11-04,2006-11-10,Sauk,PRISM 4km,ORNL,35.46640396118164,7
2006,2006-11-04,2006-11-10,Sauk,PRISM 4km,PNNL hist,34.25546646118164,7
2006,2006-11-04,2006-11-10,Sauk,PRISM 4km,UCLA ERA5 d02,40.42038345336914,7
2006,2006-11-04,2006-11-10,Sauk,PRISM 4km,gridMET,44.38134120885847,7
2006,2006-11-04,2006-11-10,Upper Skagit,PRISM 4km,CONUS404,34.132835388183594,7
2006,2006-11-04,2006-11-10,Upper Skagit,PRISM 4km,Daymet-PC,27.77297019958496,7
2006,2006-11-04,2006-11-10,Upper Skagit,PRISM 4km,ORNL,27.754039764404297,7
2006,2006-11-04,2006-11-10,Upper Skagit,PRISM 4km,PNNL hist,23.126310348510742,7
2006,2006-11-04,2006-11-10,Upper Skagit,PRISM 4km,UCLA ERA5 d02,32.705875396728516,7
2006,2006-11-04,2006-11-10,Upper Skagit,PRISM 4km,gridMET,34.93565490774557,7
2016,2016-10-30,2016-11-05,Lower Skagit,PRISM 4km,CONUS404,13.548501014709473,7
2016,2016-10-30,2016-11-05,Lower Skagit,PRISM 4km,Daymet-PC,12.067055702209473,7
2016,2016-10-30,2016-11-05,Lower Skagit,PRISM 4km,HRRR F01,9.459298133850098,7
2016,2016-10-30,2016-11-05,Lower Skagit,PRISM 4km,HRRR F06,9.459298133850098,7
2016,2016-10-30,2016-11-05,Lower Skagit,PRISM 4km,ORNL,13.421530723571777,7
2016,2016-10-30,2016-11-05,Lower Skagit,PRISM 4km,PNNL hist,6.852349281311035,7
2016,2016-10-30,2016-11-05,Lower Skagit,PRISM 4km,UCLA ERA5 d02,10.049337387084961,7
2016,2016-10-30,2016-11-05,Lower Skagit,PRISM 4km,gridMET,15.649459208683536,7
2016,2016-10-30,2016-11-05,Sauk,PRISM 4km,CONUS404,13.925996780395508,7
2016,2016-10-30,2016-11-05,Sauk,PRISM 4km,Daymet-PC,11.70911979675293,7
2016,2016-10-30,2016-11-05,Sauk,PRISM 4km,HRRR F01,10.266279220581055,7
2016,2016-10-30,2016-11-05,Sauk,PRISM 4km,HRRR F06,10.266279220581055,7
2016,2016-10-30,2016-11-05,Sauk,PRISM 4km,ORNL,11.634665489196777,7
2016,2016-10-30,2016-11-05,Sauk,PRISM 4km,PNNL hist,10.167020797729492,7
2016,2016-10-30,2016-11-05,Sauk,PRISM 4km,UCLA ERA5 d02,13.480978965759277,7
2016,2016-10-30,2016-11-05,Sauk,PRISM 4km,gridMET,12.431385262388932,7
2016,2016-10-30,2016-11-05,Upper Skagit,PRISM 4km,CONUS404,11.073725700378418,7
2016,2016-10-30,2016-11-05,Upper Skagit,PRISM 4km,Daymet-PC,10.78336238861084,7
2016,2016-10-30,2016-11-05,Upper Skagit,PRISM 4km,HRRR F01,9.042481422424316,7
2016,2016-10-30,2016-11-05,Upper Skagit,PRISM 4km,HRRR F06,9.042481422424316,7
2016,2016-10-30,2016-11-05,Upper Skagit,PRISM 4km,ORNL,10.769135475158691,7
2016,2016-10-30,2016-11-05,Upper Skagit,PRISM 4km,PNNL hist,7.174315452575684,7
2016,2016-10-30,2016-11-05,Upper Skagit,PRISM 4km,UCLA ERA5 d02,11.839956283569336,7
2016,2016-10-30,2016-11-05,Upper Skagit,PRISM 4km,gridMET,14.112467224468178,7
2018,2018-12-15,2018-12-21,Lower Skagit,PRISM 4km,CONUS404,11.704272270202637,7
2018,2018-12-15,2018-12-21,Lower Skagit,PRISM 4km,Daymet-PC,7.634854793548584,7
2018,2018-12-15,2018-12-21,Lower Skagit,PRISM 4km,HRRR F01,9.990838050842285,7
2018,2018-12-15,2018-12-21,Lower Skagit,PRISM 4km,HRRR F06,9.990838050842285,7
2018,2018-12-15,2018-12-21,Lower Skagit,PRISM 4km,ORNL,7.924277305603027,7
2018,2018-12-15,2018-12-21,Lower Skagit,PRISM 4km,PNNL hist,12.903053283691406,7
2018,2018-12-15,2018-12-21,Lower Skagit,PRISM 4km,UCLA ERA5 d02,10.641801834106445,7
2018,2018-12-15,2018-12-21,Lower Skagit,PRISM 4km,gridMET,10.619143142947902,7
2018,2018-12-15,2018-12-21,Sauk,PRISM 4km,CONUS404,14.290519714355469,7
2018,2018-12-15,2018-12-21,Sauk,PRISM 4km,Daymet-PC,12.922574043273926,7
2018,2018-12-15,2018-12-21,Sauk,PRISM 4km,HRRR F01,13.541634559631348,7
2018,2018-12-15,2018-12-21,Sauk,PRISM 4km,HRRR F06,13.541634559631348,7
2018,2018-12-15,2018-12-21,Sauk,PRISM 4km,ORNL,13.00593376159668,7
2018,2018-12-15,2018-12-21,Sauk,PRISM 4km,PNNL hist,11.462206840515137,7
2018,2018-12-15,2018-12-21,Sauk,PRISM 4km,UCLA ERA5 d02,22.527935028076172,7
2018,2018-12-15,2018-12-21,Sauk,PRISM 4km,gridMET,15.01282556064659,7
2018,2018-12-15,2018-12-21,Upper Skagit,PRISM 4km,CONUS404,15.806406021118164,7
2018,2018-12-15,2018-12-21,Upper Skagit,PRISM 4km,Daymet-PC,17.688858032226562,7
2018,2018-12-15,2018-12-21,Upper Skagit,PRISM 4km,HRRR F01,16.831424713134766,7
2018,2018-12-15,2018-12-21,Upper Skagit,PRISM 4km,HRRR F06,16.831424713134766,7
2018,2018-12-15,2018-12-21,Upper Skagit,PRISM 4km,ORNL,17.673627853393555,7
2018,2018-12-15,2018-12-21,Upper Skagit,PRISM 4km,PNNL hist,12.798373222351074,7
2018,2018-12-15,2018-12-21,Upper Skagit,PRISM 4km,UCLA ERA5 d02,26.373870849609375,7
2018,2018-12-15,2018-12-21,Upper Skagit,PRISM 4km,gridMET,19.235002510044854,7
