event_year,start,end,region,reference,dataset,mae_mm_per_day,n_days
2003,2003-10-18,2003-10-31,Lower Skagit,PRISM 4km,CONUS404,12.1920804977417,14
2003,2003-10-18,2003-10-31,Lower Skagit,PRISM 4km,Daymet-PC,13.231874465942383,14
2003,2003-10-18,2003-10-31,Lower Skagit,PRISM 4km,ORNL,14.004676818847656,14
2003,2003-10-18,2003-10-31,Lower Skagit,PRISM 4km,PNNL hist,16.00161361694336,14
2003,2003-10-18,2003-10-31,Lower Skagit,PRISM 4km,UCLA ERA5 d02,12.603853225708008,14
2003,2003-10-18,2003-10-31,Lower Skagit,PRISM 4km,gridMET,19.3427926252592,14
2003,2003-10-18,2003-10-31,Sauk,PRISM 4km,CONUS404,22.165143966674805,14
2003,2003-10-18,2003-10-31,Sauk,PRISM 4km,Daymet-PC,25.29616355895996,14
2003,2003-10-18,2003-10-31,Sauk,PRISM 4km,ORNL,25.245849609375,14
2003,2003-10-18,2003-10-31,Sauk,PRISM 4km,PNNL hist,22.719097137451172,14
2003,2003-10-18,2003-10-31,Sauk,PRISM 4km,UCLA ERA5 d02,21.566869735717773,14
2003,2003-10-18,2003-10-31,Sauk,PRISM 4km,gridMET,29.535345514409574,14
2003,2003-10-18,2003-10-31,Upper Skagit,PRISM 4km,CONUS404,15.394728660583496,14
2003,2003-10-18,2003-10-31,Upper Skagit,PRISM 4km,Daymet-PC,18.244373321533203,14
2003,2003-10-18,2003-10-31,Upper Skagit,PRISM 4km,ORNL,18.251907348632812,14
2003,2003-10-18,2003-10-31,Upper Skagit,PRISM 4km,PNNL hist,16.467374801635742,14
2003,2003-10-18,2003-10-31,Upper Skagit,PRISM 4km,UCLA ERA5 d02,14.328208923339844,14
2003,2003-10-18,2003-10-31,Upper Skagit,PRISM 4km,gridMET,20.271695255773675,14
2006,2006-11-04,2006-11-17,Lower Skagit,PRISM 4km,CONUS404,18.369964599609375,14
2006,2006-11-04,2006-11-17,Lower Skagit,PRISM 4km,Daymet-PC,18.169218063354492,14
2006,2006-11-04,2006-11-17,Lower Skagit,PRISM 4km,ORNL,18.170412063598633,14
2006,2006-11-04,2006-11-17,Lower Skagit,PRISM 4km,PNNL hist,18.98219871520996,14
