datetime,CONUS_daily_cumsum_mm,UCLA_daily_cumsum_mm,PNNL_daily_cumsum_mm
2003-10-14,0.0020434763,0.10857913,0.9477663
2003-10-15,5.4496903,4.1374283,3.6929872
2003-10-16,73.19183,70.76862,55.2581
2003-10-17,157.44193,188.15607,145.96815
2003-10-18,157.5244,190.3849,148.33058
2003-10-19,171.48384,214.91919,163.95447
2003-10-20,266.00977,301.5498,178.02045
2003-10-21,323.30618,367.05893,192.61716
2003-10-22,323.31714,370.57245,199.40541
2003-10-23,342.3977,388.3888,217.85242
2003-10-24,342.48538,388.59918,218.09042
2003-10-25,342.48538,388.59988,218.09695
2003-10-26,342.48547,388.61014,218.09987
2003-10-27,342.57947,390.76736,218.35901
2003-10-28,376.30862,419.88586,248.99414
