datetime,CONUS_hourly_precip_mm,UCLA_hourly_precip_mm,PNNL_hourly_precip_mm
1990-11-07 00:00:00,0.0,0.0,6.596832e-07
1990-11-07 01:00:00,0.0,0.0,3.5973313e-05
1990-11-07 02:00:00,0.0,0.0,4.5867822e-05
1990-11-07 03:00:00,9.891594e-10,0.00036185127,0.00016405521
1990-11-07 04:00:00,7.954648e-07,0.008538382,0.00075229816
1990-11-07 05:00:00,0.00034564437,0.024094874,0.005868778
1990-11-07 06:00:00,0.034490056,0.10212739,0.040794745
1990-11-07 07:00:00,0.31282485,0.3371073,0.1235405
1990-11-07 08:00:00,0.92643213,0.29651657,0.37298083
1990-11-07 09:00:00,1.5080072,1.0610596,0.7762793
1990-11-07 10:00:00,1.685532,1.3819765,1.545759
1990-11-07 11:00:00,2.206774,1.1593949,2.592037
1990-11-07 12:00:00,2.7045517,1.2902768,2.552145
1990-11-07 13:00:00,2.7189162,1.4567438,2.1876862
1990-11-07 14:00:00,2.1421177,1.3332592,2.1513784
1990-11-07 15:00:00,1.1360855,1.0944306,2.184673
1990-11-07 16:00:00,0.40357947,0.7032064,1.4867505
1990-11-07 17:00:00,0.1362623,0.43258715,0.91016406
1990-11-07 18:00:00,0.10237494,0.25702652,0.56533384
1990-11-07 19:00:00,0.0693669,0.17480063,0.31601226
1990-11-07 20:00:00,0.035331152,0.15667553,0.24915452
1990-11-07 21:00:00,0.022089312,0.10314381,0.1969457
1990-11-07 22:00:00,0.040205467,0.10525964,0.2612456
1990-11-07 23:00:00,0.045002375,0.16303782,0.20987575
1990-11-08 00:00:00,0.06214242,0.24821115,0.30396342
1990-11-08 01:00:00,0.054892115,0.37836766,0.22377466
1990-11-08 02:00:00,0.06417294,0.43341205,0.24328077
1990-11-08 03:00:00,0.36002585,0.54199034,0.21774402
1990-11-08 04:00:00,0.51034343,0.5039896,0.42018872
1990-11-08 05:00:00,0.63995165,0.498727,0.5626259
1990-11-08 06:00:00,0.7600075,0.7870147,0.639429
1990-11-08 07:00:00,0.80694425,0.88978434,0.6010387
1990-11-08 08:00:00,0.9505359,0.80100673,0.8002753
1990-11-08 09:00:00,0.7982303,0.6648228,0.97880596
1990-11-08 10:00:00,0.4176047,0.5241573,0.76161313
1990-11-08 11:00:00,0.5570099,0.36566254,0.8607038
1990-11-08 12:00:00,0.3553787,0.2678654,0.5927153
1990-11-08 13:00:00,0.25250402,0.21765354,0.23098427
1990-11-08 14:00:00,0.07462945,0.14793193,0.102072366
1990-11-08 15:00:00,0.05855799,0.11792755,0.038888797
1990-11-08 16:00:00,0.035761684,0.09664917,0.023555415
1990-11-08 17:00:00,0.015547262,0.07391716,0.013666103
1990-11-08 18:00:00,0.0100155445,0.061907556,0.0123112975
1990-11-08 19:00:00,0.0024539032,0.05239619,0.01722328
1990-11-08 20:00:00,0.0022157622,0.050538823,0.006178474
1990-11-08 21:00:00,0.0016471157,0.05931247,0.0040169144
1990-11-08 22:00:00,0.0046964167,0.13022053,0.0048440485
1990-11-08 23:00:00,0.18823086,0.62350965,0.013519141
1990-11-09 00:00:00,0.73035806,1.1661818,0.05578795
1990-11-09 01:00:00,1.1618689,1.6745558,0.35345733
1990-11-09 02:00:00,1.7401032,2.2560513,1.0843784
1990-11-09 03:00:00,2.3038251,2.8388174,2.300488
1990-11-09 04:00:00,2.8347762,3.4154897,3.1544523
1990-11-09 05:00:00,3.0025053,4.2037807,3.1048534
1990-11-09 06:00:00,2.331795,4.214169,2.9889684
1990-11-09 07:00:00,2.7572966,4.5577774,3.3329678
1990-11-09 08:00:00,3.9883616,4.7578874,3.773034
1990-11-09 09:00:00,5.702507,5.33366,4.55783
1990-11-09 10:00:00,6.3918233,5.516939,5.068795
1990-11-09 11:00:00,6.3642573,6.0818706,5.178226
1990-11-09 12:00:00,6.585451,6.421258,4.8169317
1990-11-09 13:00:00,6.156802,6.6788282,4.143044
1990-11-09 14:00:00,6.103168,6.634094,3.874695
1990-11-09 15:00:00,6.010928,6.254472,4.0014157
1990-11-09 16:00:00,5.4241676,6.005269,4.2690516
1990-11-09 17:00:00,5.0035424,5.7295003,4.0921974
1990-11-09 18:00:00,4.7539434,5.4325433,3.1932263
1990-11-09 19:00:00,4.559506,5.440871,2.7320695
1990-11-09 20:00:00,4.640845,5.459379,2.2226882
1990-11-09 21:00:00,5.1394663,5.3097672,2.4689088
1990-11-09 22:00:00,5.2107735,5.1285987,3.2298305
1990-11-09 23:00:00,5.2354264,4.9460998,4.141975
1990-11-10 00:00:00,4.8635592,4.839603,5.295001
1990-11-10 01:00:00,4.4053116,4.719655,5.8328447
1990-11-10 02:00:00,4.012143,4.3244257,5.3515134
1990-11-10 03:00:00,3.601598,4.3182306,4.6284494
1990-11-10 04:00:00,3.4246483,4.0719666,4.3982763
1990-11-10 05:00:00,3.5255468,3.8249366,3.881464
1990-11-10 06:00:00,4.0276093,3.4763782,3.6712055
1990-11-10 07:00:00,4.1367583,3.4756527,3.5304902
1990-11-10 08:00:00,4.108546,3.5318902,3.0643413
1990-11-10 09:00:00,4.268971,3.6821032,2.8919356
1990-11-10 10:00:00,4.476851,3.7475152,3.223499
1990-11-10 11:00:00,4.566149,3.7363832,3.5877814
1990-11-10 12:00:00,4.4717646,3.6627057,3.8630974
1990-11-10 13:00:00,4.085187,3.902693,3.8370764
1990-11-10 14:00:00,3.6609092,3.8303537,3.85173
1990-11-10 15:00:00,3.7228572,4.007128,3.6929963
1990-11-10 16:00:00,3.64946,3.967945,3.8978508
1990-11-10 17:00:00,3.0252914,3.3498585,4.020748
1990-11-10 18:00:00,2.3954082,2.4498267,3.7245693
1990-11-10 19:00:00,1.6483316,1.9859936,3.402835
