datetime,CONUS_hourly_precip_mm,UCLA_hourly_precip_mm
2021-11-12 00:00:00,3.543472,
2021-11-12 01:00:00,3.2354012,4.88052
2021-11-12 02:00:00,3.9395938,6.4912157
2021-11-12 03:00:00,3.5597334,4.559244
2021-11-12 04:00:00,3.5262778,4.5819807
2021-11-12 05:00:00,4.1222095,4.6304216
2021-11-12 06:00:00,3.633196,5.9217963
2021-11-12 07:00:00,1.8495036,3.8050184
2021-11-12 08:00:00,2.0033002,2.6240242
2021-11-12 09:00:00,2.8512232,1.961464
2021-11-12 10:00:00,2.6878393,2.1729522
2021-11-12 11:00:00,1.9009229,2.6813924
2021-11-12 12:00:00,1.2648402,3.224536
2021-11-12 13:00:00,1.4170952,3.587402
2021-11-12 14:00:00,1.2989048,4.11491
2021-11-12 15:00:00,1.070758,4.07176
2021-11-12 16:00:00,0.9638232,3.8747785
2021-11-12 17:00:00,1.1462064,3.0267768
2021-11-12 18:00:00,1.4557822,2.9995556
2021-11-12 19:00:00,1.7357556,2.552143
2021-11-12 20:00:00,1.8156264,1.5933377
2021-11-12 21:00:00,1.9449079,0.9180952
2021-11-12 22:00:00,1.6421727,0.703954
2021-11-12 23:00:00,0.9457554,0.5911781
2021-11-13 00:00:00,0.44156393,0.5753884
2021-11-13 01:00:00,0.3142043,0.31852692
2021-11-13 02:00:00,0.47750488,0.23684941
2021-11-13 03:00:00,0.52557325,0.21219589
2021-11-13 04:00:00,0.2984049,0.18065317
2021-11-13 05:00:00,0.05521633,0.08279637
2021-11-13 06:00:00,0.007743401,0.05638652
2021-11-13 07:00:00,0.0066340906,0.036196027
2021-11-13 08:00:00,0.0074868714,0.03137487
2021-11-13 09:00:00,0.008566775,0.022268489
2021-11-13 10:00:00,0.0073198555,0.013393168
2021-11-13 11:00:00,0.0029835862,0.0071713193
2021-11-13 12:00:00,0.001227721,0.004668878
2021-11-13 13:00:00,0.0032559317,0.00493326
2021-11-13 14:00:00,0.004749978,0.0030442842
2021-11-13 15:00:00,0.0028942572,0.0020060637
2021-11-13 16:00:00,0.00068480574,0.0016055983
2021-11-13 17:00:00,2.8740627e-05,0.00045869788
2021-11-13 18:00:00,4.77877e-06,5.293866e-06
2021-11-13 19:00:00,0.0001718191,0.0
